rank,feature,mean_importance,std_dev
1,volchg_1,0.09751051892861508,0.007446082152406299
2,sma_ratio,0.08852329623536448,0.007634622024090176
3,vol_5,0.08709339071094375,0.006929340178131919
4,rsi_14,0.08691471000549478,0.007213176063890392
5,mom_5,0.0865420164016366,0.0067144583905192215
6,log_ret_1,0.08446286345394283,0.007166823849011945
7,ret_1,0.08388489827503445,0.007558751570279472
8,macd_signal,0.08281742288512119,0.006454731479730336
9,macd,0.0814853822653322,0.0040476107047553575
10,sma_5,0.07680826879994875,0.002917158116620243
11,sma_10,0.07232115015289892,0.0035103704611636
12,ema_10,0.07163608188566703,0.0022834162997113047
